Counts of Small Measures by Degree and Number of Roots Outside Unit Circle

Counts of primitive, irreducible, noncyclotomic polynomials with (multiplicative) Mahler measure less than 1.3 and degree at most 200
(counting only one of f(x) and f(-x)), and this total number broken down by number of roots outside the unit circle. The counts are
known to be complete through degree 44.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026


Deg Tot |   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34
-------------------------------------------------------------------------------------------------------------------------------------------------
  8   1 |   1                                                                                                                                    
 10   7 |   5   2                                                                                                                                
 12   5 |   1   4                                                                                                                                
 14  11 |   4   5   2                                                                                                                            
 16  14 |   1  12       1                                                                                                                        
 18  23 |   7   8   8                                                                                                                            
 20  35 |   4  22   3   6                                                                                                                        
 22  48 |   4  12  27   4   1                                                                                                                    
 24  46 |   2  29   3  11       1                                                                                                                
 26  61 |   7  11  21  11  11                                                                                                                    
 28  59 |   1  15  14  28   1                                                                                                                    
 30  80 |   4  10  36  20   8   2                                                                                                                
 32  69 |      12   8  35   7   7                                                                                                                
 34  90 |   2   5  24  19  30   8   2                                                                                                            
 36  88 |   1  15  11  36   4  20       1                                                                                                        
 38  86 |       1  18  18  29   8  12                                                                                                            
 40  87 |   1   9   7  32  10  23   2   3                                                                                                        
 42  57 |          11  14  16   6   8   2                                                                                                        
 44  77 |   1   2   4  29   5  25   4   7                                                                                                        
 46 107 |   1   1  10  13  38  11  23   7   3                                                                                                    
 48  80 |       2   4  24   4  25   1  19   1                                                                                                    
 50  76 |           4  10  15  14  16   9   8                                                                                                    
 52  66 |           2   7   8  21   4  17   4   3                                                                                                
 54  66 |               4  14  15  14   3  15   1                                                                                                
 56  56 |       1       6   5  16   7  11   4   6                                                                                                
 58  99 |           3   1  15  12  21   9  25   9   4                                                                                            
 60  65 |           2   5   4  19   4  13      18                                                                                                
 62  91 |           1      10  12  20   7  19   9  13                                                                                            
 64  69 |               7   2   8   6  17   5  16   5   3                                                                                        
 66  46 |           1       5   5  11  11   7       6                                                                                            
 68  68 |           1   1   2  11  11  12   3  12   5  10                                                                                        
 70 122 |                   7   9  24  16  21   7  26   7   5                                                                                    
 72  57 |               1   1  10   2  18       8      17                                                                                        
